#_____________ QUERY RESULTS SUMMARY ____________________________________
#
#      STATION: JUNG, MOSC
#   START TIME: 1964-01-01 00:00:00 UTC
#     END TIME: 2026-03-25 00:00:00 UTC
#   NMDB TABLE: 1 hour validated
#    DATA TYPE: corr_for_efficiency
#    AVERAGING: Yes / 1 day
# ORIGINAL RES: 60 min
#________________________________________________________________________
#
# Timestamps always correspond to the beginning of the time interval 
#________________________________________________________________________
#
# ____________________________________________________________________________________________________
#|                                                                                                    |
#| Data retrieved via NMDB are the property of the individual data providers. These data are free for |
#| non commercial use to within the restriction imposed by the providers. If you use such data for    |
#| your research or applications, please acknowledge the origin by a sentence like 'We acknowledge    |
#| the NMDB database (www.nmdb.eu) founded under the European Union's FP7 programme (contract no. 213 |
#| 007), and the PIs of individual neutron monitors at: IGY Jungfraujoch (Physikalisches Institut, Un |
#| iversity of Bern, Switzerland), Moscow (Pushkov Institute of Terrestrial Magnetism, Ionosphere and |
#|  radio wave propagation IZMIRAN, Troitsk, Russia), Calgary ()                                      |
#|____________________________________________________________________________________________________|
#
DATETIME;JUNG;MOSC
1964-01-01 00:00:00;163.824;232.529
1964-01-02 00:00:00;162.334;230.618
1964-01-03 00:00:00;160.586;230.268
1964-01-04 00:00:00;   null;229.929
1964-01-05 00:00:00;163.766;231.529
1964-01-06 00:00:00;164.753;232.552
1964-01-07 00:00:00;165.597;232.656
1964-01-08 00:00:00;166.114;234.549
1964-01-09 00:00:00;164.954;232.793
1964-01-10 00:00:00;165.847;232.037
1964-01-11 00:00:00;165.136;231.872
1964-01-12 00:00:00;164.852;231.912
1964-01-13 00:00:00;164.883;232.132
1964-01-14 00:00:00;165.344;232.640
1964-01-15 00:00:00;165.594;233.891
1964-01-16 00:00:00;165.667;233.247
1964-01-17 00:00:00;164.610;233.307
1964-01-18 00:00:00;163.938;233.705
1964-01-19 00:00:00;164.534;232.474
1964-01-20 00:00:00;164.778;234.015
1964-01-21 00:00:00;165.071;234.371
1964-01-22 00:00:00;164.847;234.113
1964-01-23 00:00:00;164.896;233.577
1964-01-24 00:00:00;165.348;233.648
1964-01-25 00:00:00;165.422;233.178
1964-01-26 00:00:00;166.072;233.283
1964-01-27 00:00:00;167.481;234.308
1964-01-28 00:00:00;168.305;235.587
1964-01-29 00:00:00;167.191;232.660
1964-01-30 00:00:00;166.509;232.000
1964-01-31 00:00:00;164.995;231.936
1964-02-01 00:00:00;159.713;233.696
1964-02-02 00:00:00;159.424;232.387
1964-02-03 00:00:00;160.734;233.491
1964-02-04 00:00:00;160.384;233.297
1964-02-05 00:00:00;160.699;231.977
1964-02-06 00:00:00;162.836;233.322
1964-02-07 00:00:00;163.284;233.851
1964-02-08 00:00:00;163.049;233.222
1964-02-09 00:00:00;163.771;234.728
1964-02-10 00:00:00;164.351;235.280
1964-02-11 00:00:00;164.425;235.604
1964-02-12 00:00:00;164.455;236.282
1964-02-13 00:00:00;164.804;234.732
1964-02-14 00:00:00;163.416;232.574
1964-02-15 00:00:00;161.778;232.225
1964-02-16 00:00:00;161.142;232.350
1964-02-17 00:00:00;161.676;232.801
1964-02-18 00:00:00;   null;233.468
1964-02-19 00:00:00;   null;233.762
1964-02-20 00:00:00;163.938;233.655
1964-02-21 00:00:00;162.692;233.799
1964-02-22 00:00:00;162.797;233.865
1964-02-23 00:00:00;163.683;233.800
1964-02-24 00:00:00;163.503;234.881
1964-02-25 00:00:00;   null;235.258
1964-02-26 00:00:00;161.480;235.468
1964-02-27 00:00:00;162.070;234.426
1964-02-28 00:00:00;164.919;234.496
1964-02-29 00:00:00;163.918;234.346
1964-03-01 00:00:00;162.243;232.606
1964-03-02 00:00:00;162.332;233.433
1964-03-03 00:00:00;162.649;233.580
1964-03-04 00:00:00;164.362;234.181
1964-03-05 00:00:00;164.098;234.119
1964-03-06 00:00:00;164.416;235.254
1964-03-07 00:00:00;163.977;235.761
1964-03-08 00:00:00;   null;235.492
1964-03-09 00:00:00;163.049;235.847
1964-03-10 00:00:00;163.970;236.008
1964-03-11 00:00:00;163.494;234.830
1964-03-12 00:00:00;163.045;235.954
1964-03-13 00:00:00;162.676;234.845
1964-03-14 00:00:00;160.891;234.860
1964-03-15 00:00:00;161.968;235.839
1964-03-16 00:00:00;160.620;235.382
1964-03-17 00:00:00;160.849;235.710
1964-03-18 00:00:00;160.891;234.237
1964-03-19 00:00:00;160.797;234.197
1964-03-20 00:00:00;161.356;233.764
1964-03-21 00:00:00;161.831;235.087
1964-03-22 00:00:00;161.947;234.158
1964-03-23 00:00:00;161.255;235.367
1964-03-24 00:00:00;161.307;234.516
1964-03-25 00:00:00;161.859;234.106
1964-03-26 00:00:00;161.935;232.994
1964-03-27 00:00:00;161.049;232.906
1964-03-28 00:00:00;161.421;234.257
1964-03-29 00:00:00;162.566;235.438
1964-03-30 00:00:00;162.878;237.738
1964-03-31 00:00:00;163.646;236.122
1964-04-01 00:00:00;164.130;237.093
1964-04-02 00:00:00;   null;236.267
1964-04-03 00:00:00;   null;236.027
1964-04-04 00:00:00;   null;236.401
1964-04-05 00:00:00;162.380;236.868
1964-04-06 00:00:00;164.351;235.487
1964-04-07 00:00:00;165.051;236.667
1964-04-08 00:00:00;163.494;235.818
1964-04-09 00:00:00;163.641;236.516
1964-04-10 00:00:00;164.404;236.922
1964-04-11 00:00:00;164.635;235.812
1964-04-12 00:00:00;165.346;235.993
1964-04-13 00:00:00;165.396;235.452
1964-04-14 00:00:00;165.073;235.503
1964-04-15 00:00:00;165.008;235.299
1964-04-16 00:00:00;165.556;235.260
1964-04-17 00:00:00;165.706;235.321
1964-04-18 00:00:00;164.217;234.562
1964-04-19 00:00:00;162.518;234.982
1964-04-20 00:00:00;160.230;234.818
1964-04-21 00:00:00;161.915;235.341
1964-04-22 00:00:00;162.453;234.628
1964-04-23 00:00:00;161.685;235.257
1964-04-24 00:00:00;161.094;234.907
1964-04-25 00:00:00;159.976;235.146
1964-04-26 00:00:00;160.189;234.410
1964-04-27 00:00:00;160.680;234.576
1964-04-28 00:00:00;162.075;233.719
1964-04-29 00:00:00;163.196;233.792
1964-04-30 00:00:00;163.768;234.150
1964-05-01 00:00:00;164.134;233.517
1964-05-02 00:00:00;164.072;233.597
1964-05-03 00:00:00;163.838;234.956
1964-05-04 00:00:00;163.475;236.073
1964-05-05 00:00:00;163.748;234.695
1964-05-06 00:00:00;163.682;233.990
1964-05-07 00:00:00;163.012;234.836
1964-05-08 00:00:00;163.728;233.863
1964-05-09 00:00:00;165.266;235.533
1964-05-10 00:00:00;163.662;234.049
1964-05-11 00:00:00;163.585;235.084
1964-05-12 00:00:00;163.849;234.423
1964-05-13 00:00:00;164.386;235.418
1964-05-14 00:00:00;163.695;235.024
1964-05-15 00:00:00;163.192;236.044
1964-05-16 00:00:00;163.153;234.547
1964-05-17 00:00:00;   null;234.816
1964-05-18 00:00:00;   null;234.875
1964-05-19 00:00:00;   null;235.555
1964-05-20 00:00:00;   null;235.585
1964-05-21 00:00:00;   null;236.235
1964-05-22 00:00:00;168.265;235.248
1964-05-23 00:00:00;167.529;235.782
1964-05-24 00:00:00;167.562;235.548
1964-05-25 00:00:00;168.232;235.323
1964-05-26 00:00:00;168.288;235.096
1964-05-27 00:00:00;168.312;235.657
1964-05-28 00:00:00;169.257;235.321
1964-05-29 00:00:00;168.905;235.056
1964-05-30 00:00:00;168.680;236.000
1964-05-31 00:00:00;168.153;234.895
1964-06-01 00:00:00;165.229;235.228
1964-06-02 00:00:00;165.750;235.291
1964-06-03 00:00:00;165.230;233.695
1964-06-04 00:00:00;164.046;233.558
1964-06-05 00:00:00;163.948;234.678
1964-06-06 00:00:00;164.763;235.379
1964-06-07 00:00:00;165.011;235.823
1964-06-08 00:00:00;163.156;235.862
1964-06-09 00:00:00;162.379;233.579
1964-06-10 00:00:00;163.983;234.337
1964-06-11 00:00:00;163.330;232.874
1964-06-12 00:00:00;163.527;233.350
1964-06-13 00:00:00;164.166;234.643
1964-06-14 00:00:00;164.867;234.600
1964-06-15 00:00:00;162.433;235.228
1964-06-16 00:00:00;163.223;234.944
1964-06-17 00:00:00;164.508;235.366
1964-06-18 00:00:00;165.361;235.031
1964-06-19 00:00:00;165.432;235.248
1964-06-20 00:00:00;165.761;236.512
1964-06-21 00:00:00;164.906;235.426
1964-06-22 00:00:00;164.559;234.057
1964-06-23 00:00:00;164.929;233.866
1964-06-24 00:00:00;165.261;234.961
1964-06-25 00:00:00;165.051;234.095
1964-06-26 00:00:00;163.192;234.668
1964-06-27 00:00:00;162.057;235.601
1964-06-28 00:00:00;   null;234.542
1964-06-29 00:00:00;   null;234.201
1964-06-30 00:00:00;160.439;234.516
1964-07-01 00:00:00;161.167;234.327
1964-07-02 00:00:00;160.425;234.203
1964-07-03 00:00:00;160.747;233.681
1964-07-04 00:00:00;161.125;233.882
1964-07-05 00:00:00;161.240;233.998
1964-07-06 00:00:00;163.764;234.377
1964-07-07 00:00:00;163.761;234.477
1964-07-08 00:00:00;163.349;233.922
1964-07-09 00:00:00;163.504;233.123
1964-07-10 00:00:00;162.543;233.838
1964-07-11 00:00:00;161.499;234.044
1964-07-12 00:00:00;161.776;232.983
1964-07-13 00:00:00;161.781;233.673
1964-07-14 00:00:00;161.168;233.013
1964-07-15 00:00:00;160.698;233.906
1964-07-16 00:00:00;160.589;234.233
1964-07-17 00:00:00;160.084;234.404
1964-07-18 00:00:00;160.690;233.978
1964-07-19 00:00:00;161.220;232.880
1964-07-20 00:00:00;161.900;233.467
1964-07-21 00:00:00;162.319;234.229
1964-07-22 00:00:00;161.724;234.375
1964-07-23 00:00:00;162.104;233.864
1964-07-24 00:00:00;162.901;234.772
