Variable,Curvature,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,Station,Cycle,Metric,Stations
Scalar B (nT),FR,132,-0.0980749223564154,0.26323510231061664,-0.14283943840592309,0.10228387184854455,-0.08970671388706318,0.12830137524712026,JUNG,24,,
SW Temperature (K),FR,132,0.058320843911408744,0.5065314956735112,-0.012941420575795386,0.8829129249794992,-0.016009353566865663,0.7860032783808202,JUNG,24,,
Proton Density (N/cm³),FR,132,-0.15455901325650698,0.07680923884057528,-0.16421187569362375,0.059903973268256056,-0.10570327562210184,0.07307988431102871,JUNG,24,,
SW Speed (km/s),FR,132,0.1150853443877929,0.188837948587229,0.026897803370136013,0.7594916851601174,0.010440882760999345,0.8594550168559892,JUNG,24,,
Sunspot Number,FR,132,-0.06830729129981877,0.4364297322465053,-0.1705730262650895,0.050529900048721876,-0.09734911991980622,0.09880469007563585,JUNG,24,,
Dst Index (nT),FR,132,-0.08069239600665054,0.35769384144609834,-0.014332194934025282,0.8704345054532184,-0.01380916071701327,0.8148876047011558,JUNG,24,,
Scalar B (nT),OR,132,0.0298866556572083,0.7337197261449921,0.06912834935475831,0.4309230780896781,0.0598275771322915,0.30913710905972114,JUNG,24,,
SW Temperature (K),OR,132,0.2225845316861212,0.0103103320094479,0.21355345423971478,0.01394650956734083,0.14332812986902677,0.014796860334190334,JUNG,24,,
Proton Density (N/cm³),OR,132,-0.20243055557707032,0.019923619793712658,-0.1453001933196453,0.09644694152585756,-0.09811408075899572,0.09528344376068673,JUNG,24,,
SW Speed (km/s),OR,132,0.2804672631191755,0.0011247405266538613,0.2511423685365997,0.003676456674546345,0.1662328673299366,0.004701405217489399,JUNG,24,,
Sunspot Number,OR,132,-0.00036623202695276746,0.9966746937994694,0.006814452274049512,0.9381873377831217,0.0078676385514289,0.8935862222866847,JUNG,24,,
Dst Index (nT),OR,132,-0.13971066194096607,0.11010247569518967,-0.15754418187279354,0.07121359484239839,-0.11455681631889737,0.05147377332754221,JUNG,24,,
Scalar B (nT),FR,132,-0.21589323804531435,0.012910594651231773,-0.22243849051886813,0.010361754764746737,-0.15357884416216044,0.009191918076668555,MOSC,24,,
SW Temperature (K),FR,132,0.12043755464249595,0.1689535818364727,0.11267164699853086,0.1983430875853103,0.07745850806865953,0.18877707459979431,MOSC,24,,
Proton Density (N/cm³),FR,132,-0.23339757225500607,0.007074158758412489,-0.21082835606849537,0.015243797655316516,-0.13418420063679004,0.022830201059438476,MOSC,24,,
SW Speed (km/s),FR,132,0.22010862767963207,0.011213174063570901,0.19295906644644656,0.02664216123730713,0.13404496306492578,0.02294893547616631,MOSC,24,,
Sunspot Number,FR,132,-0.20258909162347621,0.01982492386166552,-0.32407444962512866,0.0001501946482917456,-0.21791885306527958,0.00021840641378417772,MOSC,24,,
Dst Index (nT),FR,132,0.02735862984667259,0.755500051585943,0.05612615650855711,0.5226854295973218,0.037000616592755615,0.5302672103899011,MOSC,24,,
