date,curvature,type,metric,Station,Cycle
2009-12-20,-38.96666666666667,low,FR,JUNG,24
2010-01-10,-45.9344262295082,low,FR,JUNG,24
2010-01-17,-39.64912280701754,low,FR,JUNG,24
2010-01-24,-33.82222222222222,low,FR,JUNG,24
2010-02-07,-44.0,low,FR,JUNG,24
2010-02-14,-34.490566037735846,low,FR,JUNG,24
2010-02-21,-42.5,low,FR,JUNG,24
2010-02-28,-37.976190476190474,low,FR,JUNG,24
2010-03-07,-27.869565217391305,low,FR,JUNG,24
2010-03-14,-29.903225806451612,low,FR,JUNG,24
2011-02-06,-32.5,low,FR,JUNG,24
2011-02-13,-39.23809523809524,low,FR,JUNG,24
2011-02-20,-31.62857142857143,low,FR,JUNG,24
2011-03-13,-28.076923076923077,low,FR,JUNG,24
2011-12-18,-28.12121212121212,low,FR,JUNG,24
2012-04-22,-45.61971830985915,low,FR,JUNG,24
2012-04-29,-43.0,low,FR,JUNG,24
2013-04-07,-30.428571428571427,low,FR,JUNG,24
2013-10-13,-29.692307692307693,low,FR,JUNG,24
2013-11-24,-27.741935483870968,low,FR,JUNG,24
2016-01-31,-34.05263157894737,low,FR,JUNG,24
2016-02-07,-35.5,low,FR,JUNG,24
2016-02-14,-31.372093023255815,low,FR,JUNG,24
2016-04-10,-31.615384615384617,low,FR,JUNG,24
2016-06-05,-32.51162790697674,low,FR,JUNG,24
2016-09-18,-38.205128205128204,low,FR,JUNG,24
2016-10-09,-33.36585365853659,low,FR,JUNG,24
2016-10-16,-32.425,low,FR,JUNG,24
2016-11-13,-34.02325581395349,low,FR,JUNG,24
2017-01-22,-29.789473684210527,low,FR,JUNG,24
2017-01-29,-30.571428571428573,low,FR,JUNG,24
2017-03-05,-33.90625,low,FR,JUNG,24
2017-04-02,-36.27272727272727,low,FR,JUNG,24
2017-06-18,-38.86842105263158,low,FR,JUNG,24
2017-11-26,-37.26829268292683,low,FR,JUNG,24
2018-06-10,-31.785714285714285,low,FR,JUNG,24
2018-09-09,-31.838709677419356,low,FR,JUNG,24
2009-10-04,-75.88505747126437,low,FR,MOSC,24
2009-12-20,-78.57731958762886,low,FR,MOSC,24
2009-12-27,-70.20430107526882,low,FR,MOSC,24
2010-01-03,-61.54320987654321,low,FR,MOSC,24
2010-01-17,-38.4,low,FR,MOSC,24
2010-01-24,-38.4,low,FR,MOSC,24
2011-02-06,-51.0,low,FR,MOSC,24
2012-04-22,-35.357142857142854,low,FR,MOSC,24
2012-04-29,-40.0,low,FR,MOSC,24
2013-03-03,-50.857142857142854,low,FR,MOSC,24
2013-10-06,-44.75,low,FR,MOSC,24
2015-10-18,-39.57142857142857,low,FR,MOSC,24
2015-12-27,-40.22222222222222,low,FR,MOSC,24
2016-01-03,-46.0,low,FR,MOSC,24
2016-01-10,-61.46835443037975,low,FR,MOSC,24
2016-01-17,-43.25,low,FR,MOSC,24
2016-01-31,-45.44444444444444,low,FR,MOSC,24
2016-02-07,-49.70967741935484,low,FR,MOSC,24
2017-03-19,-35.75609756097561,low,FR,MOSC,24
2019-04-14,-14.833333333333334,low,FR,JUNG,25
2020-03-29,-17.896551724137932,low,FR,JUNG,25
2021-01-03,-17.06896551724138,low,FR,JUNG,25
2021-11-28,-16.454545454545453,low,FR,JUNG,25
2022-03-13,-13.1,low,FR,JUNG,25
2022-04-17,-12.625,low,FR,JUNG,25
2022-12-18,-16.157894736842106,low,FR,JUNG,25
2023-04-09,-12.058823529411764,low,FR,JUNG,25
2024-02-04,-13.32,low,FR,JUNG,25
2024-07-07,-12.818181818181818,low,FR,JUNG,25
2024-07-14,-26.0,low,FR,JUNG,25
2024-07-21,-30.65,low,FR,JUNG,25
2025-02-09,-12.5,low,FR,JUNG,25
2025-02-16,-11.692307692307692,low,FR,JUNG,25
2019-11-03,-17.0,low,FR,MOSC,25
2019-11-10,-26.641025641025642,low,FR,MOSC,25
2019-11-17,-41.054545454545455,low,FR,MOSC,25
2019-12-15,-16.666666666666668,low,FR,MOSC,25
2020-02-23,-19.0,low,FR,MOSC,25
2020-04-12,-23.0,low,FR,MOSC,25
2020-08-02,-18.5,low,FR,MOSC,25
2020-09-06,-14.6,low,FR,MOSC,25
2020-10-04,-15.8,low,FR,MOSC,25
2020-11-01,-14.5,low,FR,MOSC,25
2020-11-15,-15.333333333333334,low,FR,MOSC,25
2021-08-22,-15.909090909090908,low,FR,MOSC,25
2022-03-27,-15.142857142857142,low,FR,MOSC,25
2022-11-06,-15.125,low,FR,MOSC,25
2024-02-04,-18.79310344827586,low,FR,MOSC,25
2024-07-21,-17.296296296296298,low,FR,MOSC,25
2025-02-16,-16.47826086956522,low,FR,MOSC,25
