Variable,Curvature,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p,Station,Cycle,Metric,Stations
Scalar B (nT),FR,574,-0.08956106638298544,0.03192359367270935,-0.13384880774858907,0.0013077506010473424,-0.09076704266772422,0.0012118768272260045,JUNG,24,,
SW Temperature (K),FR,574,0.06450072562299271,0.1226933764413858,0.03266678034993026,0.4347184817376324,0.02201068004887255,0.4319216210792781,JUNG,24,,
Proton Density (N/cm³),FR,574,-0.08531895591652539,0.04101601776042594,-0.08432244568814797,0.04344399989903904,-0.05569181048762502,0.04695735553391645,JUNG,24,,
SW Speed (km/s),FR,574,0.10880401839928544,0.009085354721712811,0.09966339165412935,0.016916876687906986,0.0659001255632613,0.018658639590794873,JUNG,24,,
Sunspot Number,FR,574,-0.08666615933064571,0.037916686668475495,-0.21447511202989084,2.1285548113236902e-07,-0.14006578456993168,6.471359891731909e-07,JUNG,24,,
Dst Index (nT),FR,574,-0.008013182510165858,0.8480815633336717,0.02322277423168694,0.578730398662447,0.017808996517316066,0.5257569905754322,JUNG,24,,
Scalar B (nT),OR,409,0.05127528870117163,0.30090928033618664,-0.01592463449096807,0.7481418104900015,-0.012516219759808244,0.7059890725943361,JUNG,24,,
SW Temperature (K),OR,409,0.11082459798237812,0.025004219087226054,0.08321252969671888,0.09283391414056132,0.05562686545707308,0.09312925693587404,JUNG,24,,
Proton Density (N/cm³),OR,409,-0.04813458525183041,0.33152568089191675,-0.03095207191982586,0.5324957934055833,-0.020347284636027203,0.5394428617972775,JUNG,24,,
SW Speed (km/s),OR,409,0.12838140116525235,0.009344926316888177,0.11690789668207698,0.018020556890487073,0.0770112177758293,0.02013038845303255,JUNG,24,,
Sunspot Number,OR,409,-0.024482341541617644,0.6215298112819061,-0.0682659627467643,0.16821062611704105,-0.048448940635017514,0.14496060826465607,JUNG,24,,
Dst Index (nT),OR,409,-0.038572936572618365,0.4365740588280348,0.015252425245257556,0.7584361539176508,0.01330562214808468,0.6885779810386685,JUNG,24,,
Scalar B (nT),FR,574,-0.0592175652610234,0.15651130992777,-0.12899559511390066,0.0019567126111177044,-0.08743402759587114,0.0018043285932881057,MOSC,24,,
SW Temperature (K),FR,574,0.13086354443465956,0.0016782403448437763,0.09119868236884629,0.028906694034798616,0.06009293729018694,0.0317112144483798,MOSC,24,,
Proton Density (N/cm³),FR,574,-0.1452838921132089,0.00047993960951926256,-0.12399672876124676,0.002922575725174033,-0.082856530767679,0.0030864819777241905,MOSC,24,,
SW Speed (km/s),FR,574,0.20110454900686897,1.1897901982208999e-06,0.18688625428629718,6.559961437474518e-06,0.12432081235218766,8.89248270521728e-06,MOSC,24,,
Sunspot Number,FR,574,-0.15400667162956883,0.0002123825851220108,-0.2757702381163303,1.7754959038747114e-11,-0.18677581173407382,3.062259286512712e-11,MOSC,24,,
Dst Index (nT),FR,574,-0.06384409001092979,0.12655716319795848,-0.008272017371043973,0.8432368995520968,-0.00605986567848602,0.8288798681681173,MOSC,24,,
Scalar B (nT),OR,419,0.004865512120402753,0.9209019771885291,-0.00874281317302097,0.8583855221299785,-0.006338674860400461,0.8466132219240562,MOSC,24,,
SW Temperature (K),OR,419,0.08682499099467446,0.07584708972439833,0.07073707423929095,0.14833508035460147,0.047040146614422906,0.1505714196867025,MOSC,24,,
