date,curvature,type,metric,Station,Cycle
2008-03-21,-17.0,low,FR,JUNG,24
2008-03-22,-35.075,low,FR,JUNG,24
2008-03-23,-24.774193548387096,low,FR,JUNG,24
2008-04-19,-17.77777777777778,low,FR,JUNG,24
2008-05-19,-27.975,low,FR,JUNG,24
2008-05-20,-19.264705882352942,low,FR,JUNG,24
2008-06-12,-16.0,low,FR,JUNG,24
2008-06-25,-15.590909090909092,low,FR,JUNG,24
2008-08-25,-15.473684210526315,low,FR,JUNG,24
2008-09-02,-30.358974358974358,low,FR,JUNG,24
2008-09-28,-19.434782608695652,low,FR,JUNG,24
2008-11-24,-23.51851851851852,low,FR,JUNG,24
2009-01-26,-20.0,low,FR,JUNG,24
2009-01-27,-26.571428571428573,low,FR,JUNG,24
2009-03-20,-16.88888888888889,low,FR,JUNG,24
2009-04-14,-31.705882352941178,low,FR,JUNG,24
2009-06-01,-25.0,low,FR,JUNG,24
2009-07-06,-16.074074074074073,low,FR,JUNG,24
2009-07-22,-19.24,low,FR,JUNG,24
2009-09-13,-26.575757575757574,low,FR,JUNG,24
2009-10-19,-15.571428571428571,low,FR,JUNG,24
2009-10-20,-25.310344827586206,low,FR,JUNG,24
2009-10-21,-16.5,low,FR,JUNG,24
2009-12-15,-20.5,low,FR,JUNG,24
2009-12-16,-52.595238095238095,low,FR,JUNG,24
2010-01-06,-86.72043010752688,low,FR,JUNG,24
2010-01-07,-51.666666666666664,low,FR,JUNG,24
2010-01-08,-34.0,low,FR,JUNG,24
2010-01-09,-69.78666666666666,low,FR,JUNG,24
2010-01-10,-43.53846153846154,low,FR,JUNG,24
2010-01-11,-28.0,low,FR,JUNG,24
2010-01-12,-19.75,low,FR,JUNG,24
2010-01-13,-43.0,low,FR,JUNG,24
2010-01-14,-50.74074074074074,low,FR,JUNG,24
2010-01-18,-30.428571428571427,low,FR,JUNG,24
2010-01-19,-40.0,low,FR,JUNG,24
2010-01-20,-28.68421052631579,low,FR,JUNG,24
2010-01-30,-21.8,low,FR,JUNG,24
2010-01-31,-22.928571428571427,low,FR,JUNG,24
2010-02-01,-17.25,low,FR,JUNG,24
2010-02-07,-26.77777777777778,low,FR,JUNG,24
2010-02-09,-23.0,low,FR,JUNG,24
2010-02-10,-65.56164383561644,low,FR,JUNG,24
2010-02-11,-41.0,low,FR,JUNG,24
2010-02-12,-22.4,low,FR,JUNG,24
2010-02-13,-18.0,low,FR,JUNG,24
2010-02-14,-29.25,low,FR,JUNG,24
2010-02-15,-63.31818181818182,low,FR,JUNG,24
2010-02-16,-55.18867924528302,low,FR,JUNG,24
2010-02-17,-28.0,low,FR,JUNG,24
2010-02-22,-17.571428571428573,low,FR,JUNG,24
2010-02-23,-42.82222222222222,low,FR,JUNG,24
2010-02-24,-39.241379310344826,low,FR,JUNG,24
2010-02-25,-18.0,low,FR,JUNG,24
2010-02-26,-30.11764705882353,low,FR,JUNG,24
2010-03-04,-19.083333333333332,low,FR,JUNG,24
2010-03-08,-27.4,low,FR,JUNG,24
2010-03-15,-27.275862068965516,low,FR,JUNG,24
2010-03-31,-24.848484848484848,low,FR,JUNG,24
2010-04-12,-16.0,low,FR,JUNG,24
2010-04-13,-25.70967741935484,low,FR,JUNG,24
2010-05-06,-32.125,low,FR,JUNG,24
2010-05-13,-25.652173913043477,low,FR,JUNG,24
2010-05-15,4.166666666666667,high,FR,JUNG,24
2010-05-18,4.166666666666667,high,FR,JUNG,24
2010-05-21,4.166666666666667,high,FR,JUNG,24
2010-05-25,-30.90909090909091,low,FR,JUNG,24
2010-05-26,-26.0,low,FR,JUNG,24
2010-05-27,-18.61111111111111,low,FR,JUNG,24
2010-06-14,-24.73076923076923,low,FR,JUNG,24
2010-06-25,-22.25,low,FR,JUNG,24
2010-06-30,-27.818181818181817,low,FR,JUNG,24
2010-07-01,-28.678571428571427,low,FR,JUNG,24
2010-07-09,-20.733333333333334,low,FR,JUNG,24
2010-07-11,-30.77777777777778,low,FR,JUNG,24
2010-07-12,-26.57894736842105,low,FR,JUNG,24
2010-07-13,-26.545454545454547,low,FR,JUNG,24
2010-07-19,-32.3,low,FR,JUNG,24
2010-07-20,-25.677419354838708,low,FR,JUNG,24
2010-08-13,-24.625,low,FR,JUNG,24
2010-09-02,-20.0,low,FR,JUNG,24
2010-09-03,-25.545454545454547,low,FR,JUNG,24
2010-09-04,-27.833333333333332,low,FR,JUNG,24
2010-09-05,-32.18181818181818,low,FR,JUNG,24
2010-10-05,-24.38095238095238,low,FR,JUNG,24
2010-10-09,-30.40740740740741,low,FR,JUNG,24
2010-10-10,-24.944444444444443,low,FR,JUNG,24
2010-10-11,-27.967741935483872,low,FR,JUNG,24
2010-10-12,-37.25,low,FR,JUNG,24
2010-10-13,-20.5,low,FR,JUNG,24
2010-11-09,-33.81818181818182,low,FR,JUNG,24
2010-11-10,-16.85,low,FR,JUNG,24
2010-11-11,-15.818181818181818,low,FR,JUNG,24
2011-01-10,-33.5,low,FR,JUNG,24
2011-01-11,-29.233333333333334,low,FR,JUNG,24
2011-01-29,-17.31578947368421,low,FR,JUNG,24
2011-02-02,-17.0,low,FR,JUNG,24
2011-02-09,-28.11111111111111,low,FR,JUNG,24
2011-02-10,-27.454545454545453,low,FR,JUNG,24
2011-02-11,-29.75,low,FR,JUNG,24
2011-02-12,-29.75,low,FR,JUNG,24
2011-02-13,-30.0,low,FR,JUNG,24
2011-02-14,-91.35643564356435,low,FR,JUNG,24
2011-02-15,-47.0,low,FR,JUNG,24
2011-02-16,-61.666666666666664,low,FR,JUNG,24
2011-02-17,-89.1340206185567,low,FR,JUNG,24
2011-02-18,-19.5,low,FR,JUNG,24
2011-02-19,-28.0,low,FR,JUNG,24
2011-02-20,-19.5,low,FR,JUNG,24
2011-02-21,-21.25,low,FR,JUNG,24
2011-02-22,-35.0,low,FR,JUNG,24
2011-02-23,-25.8,low,FR,JUNG,24
2011-02-24,-15.333333333333334,low,FR,JUNG,24
2011-02-25,-33.25,low,FR,JUNG,24
2011-02-26,-55.10344827586207,low,FR,JUNG,24
2011-02-27,-22.0,low,FR,JUNG,24
2011-02-28,-22.0,low,FR,JUNG,24
2011-03-01,-40.69230769230769,low,FR,JUNG,24
2011-03-02,-39.55555555555556,low,FR,JUNG,24
2011-03-06,-25.0,low,FR,JUNG,24
2011-03-07,-37.24,low,FR,JUNG,24
2011-03-08,-52.333333333333336,low,FR,JUNG,24
2011-03-09,-47.19642857142857,low,FR,JUNG,24
2011-03-10,-35.096774193548384,low,FR,JUNG,24
2011-03-11,-27.0,low,FR,JUNG,24
2011-03-23,-18.363636363636363,low,FR,JUNG,24
2011-03-28,-16.5,low,FR,JUNG,24
2011-04-16,-20.5,low,FR,JUNG,24
2011-04-25,-15.866666666666667,low,FR,JUNG,24
2011-04-26,-18.8,low,FR,JUNG,24
2011-04-27,-19.4375,low,FR,JUNG,24
2011-05-06,-19.428571428571427,low,FR,JUNG,24
2011-05-07,-17.166666666666668,low,FR,JUNG,24
2011-05-08,-37.0,low,FR,JUNG,24
