Cycle,Station,Curvature,Variable,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p
24,JUNG,FR,Scalar B (nT),4017,-0.0061,0.700746438766429,-0.0116,0.4606611548922822,-0.0078,0.4659725048509973
24,JUNG,FR,SW Temperature (K),4017,0.0948,1.7423609215555737e-09,0.1152,2.377244209764799e-13,0.0773,2.367680729261979e-13
24,JUNG,FR,Proton Density (N/cm³),4014,-0.0902,1.023324484371549e-08,-0.121,1.4589215854589396e-14,-0.0816,1.4165441071181717e-14
24,JUNG,FR,SW Speed (km/s),4017,0.1525,2.501164102128373e-22,0.1743,9.098912059474743e-29,0.1176,9.201151056448308e-29
24,JUNG,FR,Sunspot Number,4017,-0.1099,2.9201818717271295e-12,-0.1161,1.5971402834016933e-13,-0.0795,1.77684827582017e-13
24,JUNG,FR,Dst Index (nT),4017,-0.0272,0.0841998522776039,-0.0498,0.001606585738441882,-0.0334,0.0017477398399376243
24,MOSC,FR,Scalar B (nT),4018,0.0384,0.01502781303133168,0.0219,0.1650510823029404,0.0147,0.16518174596586388
24,MOSC,FR,SW Temperature (K),4018,0.1283,3.276334992337657e-16,0.1735,1.649182713516701e-28,0.1159,3.8150715415084935e-28
24,MOSC,FR,Proton Density (N/cm³),4015,-0.0857,5.317162841758284e-08,-0.1428,9.68828105910735e-20,-0.0957,1.6490973435822917e-19
24,MOSC,FR,SW Speed (km/s),4018,0.1938,2.577601509100052e-35,0.2532,8.290285789408592e-60,0.1709,5.904571390285469e-59
24,MOSC,FR,Sunspot Number,4018,-0.0808,2.9320040459635353e-07,-0.1147,3.0404217744817944e-13,-0.0773,7.232750099462283e-13
24,MOSC,FR,Dst Index (nT),4018,-0.1019,9.739092357894544e-11,-0.1283,3.2948903489252937e-16,-0.0862,6.409950900333213e-16
25,JUNG,FR,Scalar B (nT),2556,0.0035,0.8614422414950216,0.0222,0.2609387679059296,0.015,0.26055546156222575
25,JUNG,FR,SW Temperature (K),2556,0.0959,1.2042865392632157e-06,0.0985,6.129070946551024e-07,0.0654,7.629376270518294e-07
25,JUNG,FR,Proton Density (N/cm³),2556,-0.0994,4.8193126208891e-07,-0.1121,1.3208793962983391e-08,-0.0756,1.2595750917511504e-08
25,JUNG,FR,SW Speed (km/s),2556,0.146,1.2048584563495713e-13,0.1534,6.191160021517208e-15,0.102,1.3493021437798594e-14
25,JUNG,FR,Sunspot Number,2556,-0.0502,0.011112686310533155,-0.0329,0.0967554805773988,-0.0221,0.10158883614243944
25,JUNG,FR,Dst Index (nT),2556,-0.0305,0.12331988404378191,-0.038,0.054714585043125,-0.0255,0.05700943865802393
25,MOSC,FR,Scalar B (nT),2279,0.1022,1.018485729406508e-06,0.0635,0.0024273226287092548,0.0429,0.002358139532397888
25,MOSC,FR,SW Temperature (K),2279,0.1409,1.4013831684944349e-11,0.1385,3.084663571218913e-11,0.0925,3.970336783931771e-11
25,MOSC,FR,Proton Density (N/cm³),2279,-0.0714,0.000642173776323112,-0.1152,3.503573574532112e-08,-0.0772,4.0784117902333145e-08
25,MOSC,FR,SW Speed (km/s),2279,0.1852,4.961988976048901e-19,0.1991,8.278875980260875e-22,0.1326,3.1941882256054244e-21
25,MOSC,FR,Sunspot Number,2279,0.0811,0.00010695846290114476,0.0282,0.17888807278079585,0.0192,0.18044744649817623
25,MOSC,FR,Dst Index (nT),2279,-0.0904,1.5410391367217225e-05,-0.1189,1.2604627890271891e-08,-0.0799,1.748415255279842e-08
