date,curvature,type,metric,Station,Cycle
2009-12-31,-21.838709677419356,low,FR,JUNG,24
2010-01-31,-19.813953488372093,low,FR,JUNG,24
2010-02-28,-19.135135135135137,low,FR,JUNG,24
2016-07-31,-19.25,low,FR,JUNG,24
2009-09-30,-21.61111111111111,low,FR,MOSC,24
2009-11-30,-27.5,low,FR,MOSC,24
2009-12-31,-28.653061224489797,low,FR,MOSC,24
2014-09-30,-20.75,low,FR,MOSC,24
2015-06-30,-20.25,low,FR,MOSC,24
2016-02-29,-24.5531914893617,low,FR,MOSC,24
2021-04-30,-6.857142857142857,low,FR,JUNG,25
2023-05-31,-9.0,low,FR,JUNG,25
2024-07-31,-13.28,low,FR,JUNG,25
2019-10-31,-16.724137931034484,low,FR,MOSC,25
2024-07-31,-12.444444444444445,low,FR,MOSC,25
