Cycle,Station,Curvature,Variable,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p
24,JUNG,FR,Scalar B (nT),132,-0.0981,0.26323510231061664,-0.1428,0.10228387184854455,-0.0897,0.12830137524712026
24,JUNG,FR,SW Temperature (K),132,0.0583,0.5065314956735112,-0.0129,0.8829129249794992,-0.016,0.7860032783808202
24,JUNG,FR,Proton Density (N/cm³),132,-0.1546,0.07680923884057528,-0.1642,0.059903973268256056,-0.1057,0.07307988431102871
24,JUNG,FR,SW Speed (km/s),132,0.1151,0.188837948587229,0.0269,0.7594916851601174,0.0104,0.8594550168559892
24,JUNG,FR,Sunspot Number,132,-0.0683,0.4364297322465053,-0.1706,0.050529900048721876,-0.0973,0.09880469007563585
24,JUNG,FR,Dst Index (nT),132,-0.0807,0.35769384144609834,-0.0143,0.8704345054532184,-0.0138,0.8148876047011558
24,JUNG,OR,Scalar B (nT),132,0.0069,0.937011289170953,0.0556,0.5265299166391152,0.0487,0.40756595809792084
24,JUNG,OR,SW Temperature (K),132,0.2324,0.007332185735387554,0.2437,0.004865879834054665,0.1646,0.005121815716644011
24,JUNG,OR,Proton Density (N/cm³),132,-0.1563,0.07347399200928262,-0.1211,0.16670593891202815,-0.081,0.16850573901364052
24,JUNG,OR,SW Speed (km/s),132,0.2915,0.0006946052760704203,0.2928,0.0006564601153962755,0.2,0.0006708525875926272
24,JUNG,OR,Sunspot Number,132,-0.0963,0.27185751748119763,-0.0947,0.28013428510424254,-0.0606,0.3026352671453182
24,JUNG,OR,Dst Index (nT),132,-0.1601,0.06675832398081466,-0.2064,0.01757041302893034,-0.1451,0.013630957578825929
24,MOSC,FR,Scalar B (nT),132,-0.2159,0.012910594651231773,-0.2224,0.010361754764746737,-0.1536,0.009191918076668555
24,MOSC,FR,SW Temperature (K),132,0.1204,0.1689535818364727,0.1127,0.1983430875853103,0.0775,0.18877707459979431
24,MOSC,FR,Proton Density (N/cm³),132,-0.2334,0.007074158758412489,-0.2108,0.015243797655316516,-0.1342,0.022830201059438476
24,MOSC,FR,SW Speed (km/s),132,0.2201,0.011213174063570901,0.193,0.02664216123730713,0.134,0.02294893547616631
24,MOSC,FR,Sunspot Number,132,-0.2026,0.01982492386166552,-0.3241,0.0001501946482917456,-0.2179,0.00021840641378417772
24,MOSC,FR,Dst Index (nT),132,0.0274,0.755500051585943,0.0561,0.5226854295973218,0.037,0.5302672103899011
24,MOSC,OR,Scalar B (nT),132,-0.0549,0.531738424446276,-0.0262,0.765513713286019,-0.0215,0.7144419379419931
24,MOSC,OR,SW Temperature (K),132,0.1478,0.09073002753856999,0.1487,0.08888926314891302,0.096,0.10252217199634998
24,MOSC,OR,Proton Density (N/cm³),132,-0.1671,0.05547875058877316,-0.1385,0.1131363620456404,-0.0929,0.11418866426562768
24,MOSC,OR,SW Speed (km/s),132,0.189,0.029995946008822803,0.1914,0.027886028267738845,0.1305,0.026489276845712433
24,MOSC,OR,Sunspot Number,132,-0.1203,0.1696073200049737,-0.1324,0.13028113759241072,-0.0848,0.14931914593732465
24,MOSC,OR,Dst Index (nT),132,0.0016,0.9857128664335744,-0.0383,0.6624845927518681,-0.0258,0.6608918922599227
25,JUNG,FR,Scalar B (nT),84,-0.0667,0.5465785199020197,-0.1236,0.26262868205317763,-0.0891,0.23379626438421275
25,JUNG,FR,SW Temperature (K),84,-0.0123,0.9112817609424732,-0.0891,0.420180012251967,-0.0665,0.37394301363274784
25,JUNG,FR,Proton Density (N/cm³),84,0.1402,0.20332885654969793,0.2278,0.03716676119571586,0.164,0.02838890173081531
25,JUNG,FR,SW Speed (km/s),84,-0.0681,0.5383198417148923,-0.1285,0.24416966139055987,-0.0839,0.2622648894984623
25,JUNG,FR,Sunspot Number,84,-0.2355,0.031046594596379835,-0.2241,0.04041978901337177,-0.1481,0.04778897835316345
25,JUNG,FR,Dst Index (nT),84,0.2011,0.06661566694750197,0.2682,0.013624128420881534,0.1925,0.010146212757289975
25,JUNG,OR,Scalar B (nT),84,0.0301,0.7856369894002242,-0.0313,0.77761168836787,-0.0238,0.7484612872471474
25,JUNG,OR,SW Temperature (K),84,0.0449,0.685115327274368,-0.01,0.928400327864932,-0.0026,0.9722620814457372
25,JUNG,OR,Proton Density (N/cm³),84,0.1428,0.194975769935973,0.2076,0.05809626884265005,0.15,0.04372137999736464
25,JUNG,OR,SW Speed (km/s),84,-0.0012,0.9917026442140494,-0.074,0.5032423658979724,-0.0405,0.5859248863069157
25,JUNG,OR,Sunspot Number,84,-0.0788,0.47640203218037935,-0.1114,0.31292315080463545,-0.0756,0.3095838841623505
25,JUNG,OR,Dst Index (nT),84,0.2078,0.057872973281476156,0.2692,0.013286910377114035,0.1751,0.018624382491671768
25,MOSC,FR,Scalar B (nT),80,0.149,0.18713029200337697,0.1131,0.31767276059886146,0.0744,0.33269636808745984
25,MOSC,FR,SW Temperature (K),80,0.0893,0.43090137822760116,0.028,0.8052330484994279,0.0163,0.8320817573333841
25,MOSC,FR,Proton Density (N/cm³),80,-0.0132,0.9074368794930272,-0.0018,0.987150459645822,0.0045,0.9535849659326383
25,MOSC,FR,SW Speed (km/s),80,0.0024,0.9833594643780375,-0.0364,0.7488598170842443,-0.022,0.77421387979726
25,MOSC,FR,Sunspot Number,80,0.0138,0.9034675063785719,0.0105,0.9260518242777217,0.0029,0.9701521335164477
25,MOSC,FR,Dst Index (nT),80,0.0043,0.9700736269490013,0.0107,0.9246548752757877,0.0093,0.9040287877297886
25,MOSC,OR,Scalar B (nT),80,0.0856,0.45033598223766436,0.0442,0.6970377798196837,0.0197,0.796702327487244
25,MOSC,OR,SW Temperature (K),80,0.0284,0.8026736251410141,-0.0197,0.8624361983855366,-0.0095,0.900797871408399
25,MOSC,OR,Proton Density (N/cm³),80,0.0894,0.43015141177541244,0.1476,0.1912397908127284,0.0948,0.2140924898065294
25,MOSC,OR,SW Speed (km/s),80,-0.0426,0.7074512857499632,-0.0637,0.5743051898810949,-0.0304,0.6899733724652121
25,MOSC,OR,Sunspot Number,80,-0.0021,0.9849186480784068,-0.0081,0.9433185762535731,-0.0089,0.9073804962136732
25,MOSC,OR,Dst Index (nT),80,0.0022,0.9848846705694423,0.0523,0.6451131880492349,0.0279,0.7146119700196538
