date,curvature,type,metric,Station,Cycle
2009-12-20,-38.96666666666667,low,FR,JUNG,24
2009-12-27,-24.333333333333332,low,FR,JUNG,24
2010-01-03,-24.333333333333332,low,FR,JUNG,24
2010-01-10,-45.9344262295082,low,FR,JUNG,24
2010-01-17,-39.64912280701754,low,FR,JUNG,24
2010-01-24,-33.82222222222222,low,FR,JUNG,24
2010-01-31,-27.048780487804876,low,FR,JUNG,24
2010-02-07,-44.0,low,FR,JUNG,24
2010-02-14,-34.490566037735846,low,FR,JUNG,24
2010-02-21,-42.5,low,FR,JUNG,24
2010-02-28,-37.976190476190474,low,FR,JUNG,24
2010-03-07,-27.869565217391305,low,FR,JUNG,24
2010-03-14,-29.903225806451612,low,FR,JUNG,24
2010-05-02,-20.833333333333332,low,FR,JUNG,24
2010-05-09,-18.545454545454547,low,FR,JUNG,24
2010-06-27,-20.2,low,FR,JUNG,24
2010-07-04,-18.466666666666665,low,FR,JUNG,24
2010-07-18,-19.363636363636363,low,FR,JUNG,24
2010-10-17,-19.4,low,FR,JUNG,24
2011-01-23,-21.90909090909091,low,FR,JUNG,24
2011-01-30,-23.583333333333332,low,FR,JUNG,24
2011-02-06,-32.5,low,FR,JUNG,24
2011-02-13,-39.23809523809524,low,FR,JUNG,24
2011-02-20,-31.62857142857143,low,FR,JUNG,24
2011-02-27,-26.689655172413794,low,FR,JUNG,24
2011-03-06,-26.060606060606062,low,FR,JUNG,24
2011-03-13,-28.076923076923077,low,FR,JUNG,24
2011-12-18,-28.12121212121212,low,FR,JUNG,24
2012-04-08,-21.333333333333332,low,FR,JUNG,24
2012-04-22,-45.61971830985915,low,FR,JUNG,24
2012-04-29,-43.0,low,FR,JUNG,24
2012-05-06,-26.44,low,FR,JUNG,24
2012-05-13,-20.5,low,FR,JUNG,24
2012-05-20,-21.68,low,FR,JUNG,24
2012-05-27,-19.61904761904762,low,FR,JUNG,24
2012-06-24,-27.0,low,FR,JUNG,24
2012-08-12,2.2857142857142856,high,FR,JUNG,24
2013-02-17,-23.96875,low,FR,JUNG,24
2013-02-24,-24.454545454545453,low,FR,JUNG,24
2013-04-07,-30.428571428571427,low,FR,JUNG,24
2013-05-19,2.5,high,FR,JUNG,24
2013-06-02,2.5714285714285716,high,FR,JUNG,24
2013-06-09,2.8333333333333335,high,FR,JUNG,24
2013-10-06,-20.5,low,FR,JUNG,24
2013-10-13,-29.692307692307693,low,FR,JUNG,24
2013-10-20,-24.0,low,FR,JUNG,24
2013-10-27,-26.42105263157895,low,FR,JUNG,24
2013-11-24,-27.741935483870968,low,FR,JUNG,24
2013-12-01,-21.57894736842105,low,FR,JUNG,24
2014-05-18,-20.73913043478261,low,FR,JUNG,24
2014-08-03,-23.285714285714285,low,FR,JUNG,24
2014-08-24,-27.5,low,FR,JUNG,24
2014-09-28,-23.285714285714285,low,FR,JUNG,24
2014-11-23,-26.17241379310345,low,FR,JUNG,24
2015-03-01,3.0,high,FR,JUNG,24
2015-04-26,2.25,high,FR,JUNG,24
2015-05-31,-24.48,low,FR,JUNG,24
2015-06-07,-20.5,low,FR,JUNG,24
2015-06-14,-20.884615384615383,low,FR,JUNG,24
2015-08-02,-25.875,low,FR,JUNG,24
2015-11-29,-23.06896551724138,low,FR,JUNG,24
2015-12-27,-22.818181818181817,low,FR,JUNG,24
2016-01-03,-22.636363636363637,low,FR,JUNG,24
2016-01-10,-25.8125,low,FR,JUNG,24
2016-01-31,-34.05263157894737,low,FR,JUNG,24
2016-02-07,-35.5,low,FR,JUNG,24
2016-02-14,-31.372093023255815,low,FR,JUNG,24
2016-02-21,-18.5,low,FR,JUNG,24
2016-03-06,-19.333333333333332,low,FR,JUNG,24
2016-03-13,-25.5625,low,FR,JUNG,24
2016-04-10,-31.615384615384617,low,FR,JUNG,24
2016-06-05,-32.51162790697674,low,FR,JUNG,24
2016-09-11,-20.5,low,FR,JUNG,24
2016-09-18,-38.205128205128204,low,FR,JUNG,24
2016-09-25,-20.666666666666668,low,FR,JUNG,24
2016-10-02,-20.666666666666668,low,FR,JUNG,24
2016-10-09,-33.36585365853659,low,FR,JUNG,24
2016-10-16,-32.425,low,FR,JUNG,24
2016-11-13,-34.02325581395349,low,FR,JUNG,24
2017-01-22,-29.789473684210527,low,FR,JUNG,24
2017-01-29,-30.571428571428573,low,FR,JUNG,24
2017-02-19,-26.857142857142858,low,FR,JUNG,24
2017-02-26,-21.5,low,FR,JUNG,24
2017-03-05,-33.90625,low,FR,JUNG,24
2017-03-26,-19.666666666666668,low,FR,JUNG,24
2017-04-02,-36.27272727272727,low,FR,JUNG,24
2017-04-09,-19.0,low,FR,JUNG,24
2017-06-18,-38.86842105263158,low,FR,JUNG,24
2017-09-24,3.1666666666666665,high,FR,JUNG,24
2017-10-08,3.1666666666666665,high,FR,JUNG,24
2017-10-15,3.1666666666666665,high,FR,JUNG,24
2017-11-26,-37.26829268292683,low,FR,JUNG,24
2018-04-01,2.3333333333333335,high,FR,JUNG,24
2018-04-08,2.3333333333333335,high,FR,JUNG,24
2018-06-10,-31.785714285714285,low,FR,JUNG,24
2018-07-01,2.5,high,FR,JUNG,24
2018-07-29,-17.916666666666668,low,FR,JUNG,24
2018-09-09,-31.838709677419356,low,FR,JUNG,24
2018-09-16,2.125,high,FR,JUNG,24
2018-09-23,2.125,high,FR,JUNG,24
2008-01-06,3.3333333333333335,high,FR,MOSC,24
2008-01-13,3.3333333333333335,high,FR,MOSC,24
2008-01-20,3.3333333333333335,high,FR,MOSC,24
2009-03-29,2.3333333333333335,high,FR,MOSC,24
2009-10-04,-75.88505747126437,low,FR,MOSC,24
2009-11-08,-31.8,low,FR,MOSC,24
2009-12-06,-31.0,low,FR,MOSC,24
2009-12-20,-78.57731958762886,low,FR,MOSC,24
2009-12-27,-70.20430107526882,low,FR,MOSC,24
2010-01-03,-61.54320987654321,low,FR,MOSC,24
2010-01-10,-28.473684210526315,low,FR,MOSC,24
2010-01-17,-38.4,low,FR,MOSC,24
2010-01-24,-38.4,low,FR,MOSC,24
2010-01-31,-30.674418604651162,low,FR,MOSC,24
2010-02-07,-25.46153846153846,low,FR,MOSC,24
2010-02-21,-28.5,low,FR,MOSC,24
2010-02-28,-25.857142857142858,low,FR,MOSC,24
2010-03-14,-24.3,low,FR,MOSC,24
2010-04-18,-34.0,low,FR,MOSC,24
2010-05-02,-23.454545454545453,low,FR,MOSC,24
