Cycle,Station,Curvature,Variable,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Kendall_tau,Kendall_p
24,JUNG,FR,Scalar B (nT),574,-0.0896,0.03192359367270935,-0.1338,0.0013077506010473424,-0.0908,0.0012118768272260045
24,JUNG,FR,SW Temperature (K),574,0.0645,0.1226933764413858,0.0327,0.4347184817376324,0.022,0.4319216210792781
24,JUNG,FR,Proton Density (N/cm³),574,-0.0853,0.04101601776042594,-0.0843,0.04344399989903904,-0.0557,0.04695735553391645
24,JUNG,FR,SW Speed (km/s),574,0.1088,0.009085354721712811,0.0997,0.016916876687906986,0.0659,0.018658639590794873
24,JUNG,FR,Sunspot Number,574,-0.0867,0.037916686668475495,-0.2145,2.1285548113236902e-07,-0.1401,6.471359891731909e-07
24,JUNG,FR,Dst Index (nT),574,-0.008,0.8480815633336717,0.0232,0.578730398662447,0.0178,0.5257569905754322
24,JUNG,OR,Scalar B (nT),413,-0.007,0.8876094749945865,-0.0204,0.6795485304055888,-0.0131,0.6907430675134891
24,JUNG,OR,SW Temperature (K),413,0.0754,0.12621650293849146,0.0546,0.2683200667060003,0.037,0.2622524327456288
24,JUNG,OR,Proton Density (N/cm³),413,-0.0167,0.7352507141087803,0.0106,0.8292214824580308,0.007,0.8321496544138127
24,JUNG,OR,SW Speed (km/s),413,0.1307,0.007814395431958653,0.1018,0.03856345075527005,0.0673,0.041363826450415364
24,JUNG,OR,Sunspot Number,413,-0.1041,0.03440709715223044,-0.1207,0.01409648051237372,-0.08,0.01568623510360394
24,JUNG,OR,Dst Index (nT),413,-0.0255,0.6048097941750799,-0.0026,0.9584577765299827,-0.0015,0.9630022544009996
24,MOSC,FR,Scalar B (nT),574,-0.0592,0.15651130992777,-0.129,0.0019567126111177044,-0.0874,0.0018043285932881057
24,MOSC,FR,SW Temperature (K),574,0.1309,0.0016782403448437763,0.0912,0.028906694034798616,0.0601,0.0317112144483798
24,MOSC,FR,Proton Density (N/cm³),574,-0.1453,0.00047993960951926256,-0.124,0.002922575725174033,-0.0829,0.0030864819777241905
24,MOSC,FR,SW Speed (km/s),574,0.2011,1.1897901982208999e-06,0.1869,6.559961437474518e-06,0.1243,8.89248270521728e-06
24,MOSC,FR,Sunspot Number,574,-0.154,0.0002123825851220108,-0.2758,1.7754959038747114e-11,-0.1868,3.062259286512712e-11
24,MOSC,FR,Dst Index (nT),574,-0.0638,0.12655716319795848,-0.0083,0.8432368995520968,-0.0061,0.8288798681681173
24,MOSC,OR,Scalar B (nT),439,-0.014,0.7701993656429634,-0.0413,0.38777070852317364,-0.0301,0.34769418172201816
24,MOSC,OR,SW Temperature (K),439,0.1052,0.027460097541611293,0.0872,0.06802102590826488,0.0573,0.07321470525383643
24,MOSC,OR,Proton Density (N/cm³),439,-0.1001,0.03606140896915855,-0.1077,0.024072113103251948,-0.0702,0.02833163067818889
24,MOSC,OR,SW Speed (km/s),439,0.14,0.003287612177129756,0.1255,0.008477521875611271,0.0861,0.0071066955845306215
24,MOSC,OR,Sunspot Number,439,-0.0514,0.2830237305716125,-0.0916,0.05511432936720148,-0.0618,0.05459443400976281
24,MOSC,OR,Dst Index (nT),439,-0.0702,0.14178901623811346,-0.0459,0.3368372922115521,-0.0281,0.3798389242085781
25,JUNG,FR,Scalar B (nT),366,0.0581,0.2672977139047255,0.0523,0.31820751765919003,0.0355,0.3136653757212514
25,JUNG,FR,SW Temperature (K),366,0.1064,0.041856331929377585,0.0954,0.06835807935719135,0.0629,0.07391311701249939
25,JUNG,FR,Proton Density (N/cm³),366,-0.0823,0.11584421908845532,-0.1043,0.0462066639348522,-0.0702,0.04618071446184685
25,JUNG,FR,SW Speed (km/s),366,0.1639,0.0016592720718547776,0.1691,0.0011644061818728473,0.1147,0.0011158187767360418
25,JUNG,FR,Sunspot Number,366,-0.1394,0.007583443595728274,-0.0809,0.1224451563247738,-0.0569,0.10788470293231393
25,JUNG,FR,Dst Index (nT),366,-0.0639,0.22267497621515522,0.0079,0.8809307604906871,0.0025,0.9430627438901737
25,JUNG,OR,Scalar B (nT),342,-0.0162,0.7652288226741295,-0.0307,0.5715238394486213,-0.0195,0.5904688641354114
25,JUNG,OR,SW Temperature (K),342,0.0301,0.5786044469153637,0.0037,0.945493236359491,0.0031,0.931354008988235
25,JUNG,OR,Proton Density (N/cm³),342,-0.0448,0.40880066938519616,-0.0191,0.7248688559432126,-0.0142,0.6961800169989848
25,JUNG,OR,SW Speed (km/s),342,0.047,0.38650532358745976,0.0313,0.5635332905972557,0.0227,0.5308827007244237
25,JUNG,OR,Sunspot Number,342,-0.0468,0.3885415601306409,-0.0661,0.22259207554512914,-0.0409,0.26201136278918824
25,JUNG,OR,Dst Index (nT),342,0.0299,0.5812113332925479,0.0685,0.20607755632896393,0.0458,0.2076691437733157
25,MOSC,FR,Scalar B (nT),331,0.2146,8.320537859602262e-05,0.1757,0.0013289490874097932,0.1156,0.0017939409525291878
25,MOSC,FR,SW Temperature (K),331,0.1549,0.004730962884299689,0.1367,0.012820235779321888,0.0911,0.013752808892197262
25,MOSC,FR,Proton Density (N/cm³),331,-0.0243,0.6593151208323226,-0.0548,0.32050289974984936,-0.0374,0.31171714986736754
25,MOSC,FR,SW Speed (km/s),331,0.1535,0.0051211099183364915,0.1694,0.0019782775085476737,0.1149,0.0019063544694683594
25,MOSC,FR,Sunspot Number,331,0.1418,0.009767074551519697,0.0673,0.22226182305869494,0.0438,0.23910368218667288
25,MOSC,FR,Dst Index (nT),331,-0.0785,0.154414271604183,-0.0639,0.24615819530448377,-0.0414,0.2641839440904391
25,MOSC,OR,Scalar B (nT),314,0.0611,0.2807089999655208,0.0269,0.6344604922464531,0.0197,0.603319207186732
25,MOSC,OR,SW Temperature (K),314,0.04,0.48050777519203075,0.0297,0.6001046244604344,0.0194,0.607834177361416
25,MOSC,OR,Proton Density (N/cm³),314,-0.0732,0.1957116037114229,-0.0851,0.13251479485793946,-0.0584,0.12354483120492252
25,MOSC,OR,SW Speed (km/s),314,0.0951,0.09240571628912164,0.1036,0.06686862841701274,0.0694,0.06685052664581756
25,MOSC,OR,Sunspot Number,314,0.0083,0.8839673291154665,-0.0072,0.899405176765658,-0.0051,0.8929265722816522
25,MOSC,OR,Dst Index (nT),314,-0.0952,0.0921227393566169,-0.0602,0.2873900498660349,-0.0432,0.2554532191666662
